 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
ENSG00000000003	TSPAN6	2285	1969	1762	1573	1594	1878
ENSG00000000005	TNMD	0	0	0	0	0	0
ENSG00000000419	DPM1	1386	1145	1211	1696	1665	2155
ENSG00000000457	SCYL3	384.11	346.37	323.79	402.84	397.86	424.67
ENSG00000000460	C1orf112	649.89	566.63	605.21	790.16	801.14	863.33
ENSG00000000938	FGR	2	3	4	6	3	5
ENSG00000000971	CFH	9427.99	8838.98	8343.99	11308	11703	14425.99
ENSG00000001036	FUCA2	3005.83	2414.71	2735.28	3391.67	3297.54	3704.73
ENSG00000001084	GCLC	1355	1074	1259	1097	1122	1344
ENSG00000001167	NFYA	1355	1176	1203	1395	1513	1673.98
ENSG00000001460	C1orf201	268	245	267	288	293	342
ENSG00000001461	NIPAL3	1795	1666	1594	1540	1793	1896
ENSG00000001497	LAS1L	1237	1203	1180	1341	1403	1477
ENSG00000001561	ENPP4	1844	1473	1523	1818	2074	2489
ENSG00000001617	SEMA3F	793	686	729	1577	1584	1625
ENSG00000001626	CFTR	8	3	1	23	17	22
ENSG00000001629	ANKIB1	3398	2824	3250	3147	3445	4388
ENSG00000001630	CYP51A1	7569.99	5963.75	6908	6522.51	6893	8130
ENSG00000001631	KRIT1	1247.37	1069.45	1029.99	1304	1389.59	1599.76
ENSG00000002016	RAD52	263.28	280	233	199	222.2	235
ENSG00000002079	MYH16	1	6	11	2	3	1
ENSG00000002330	BAD	749.58	594.71	551.74	965.6	770.59	1035.5
ENSG00000002549	LAP3	1928	1593	1824	5055.89	5368	7485
ENSG00000002586	CD99	4196	3845	3560	2935	2676	3291
ENSG00000002587	HS3ST1	0	0	0	30	49	52
ENSG00000002726	ABP1	0	1	1	1	1	0
ENSG00000002745	WNT16	14	22	13	2	0	1
ENSG00000002746	HECW1	7	5	2	3	0	1
ENSG00000002822	MAD1L1	578	476	638	743	669	913
ENSG00000002834	LASP1	7720	6749	6685	8650.12	9154	9708
ENSG00000002919	SNX11	823	741.93	785	792	912	946
ENSG00000002933	TMEM176A	0	0	1	0	0	0
ENSG00000003056	M6PR	4395.81	3965.11	3876.68	4279.64	4333.04	4848.53
ENSG00000003096	KLHL13	572	385	444	2032	2177	2659
ENSG00000003137	CYP26B1	1	2	2	3	7	4
ENSG00000003147	ICA1	256	204	192	318	294	402
ENSG00000003249	DBNDD1	629	569	557	722	673	809
ENSG00000003393	ALS2	2559	2294	2392	2267	2492	2907
ENSG00000003400	CASP10	315	325	339	627	722	746
ENSG00000003402	CFLAR	2941.53	2791.53	2890.94	3388.78	3751.98	4248.1
ENSG00000003436	TFPI	13958	11554	13150	14503	14773	18016
ENSG00000003509	C2orf56	381.93	335.14	351.23	500.99	464.71	493.28
ENSG00000003756	RBM5	4550.74	5893.28	4352.49	3684.23	3998.65	3821.86
ENSG00000003987	MTMR7	56	32	46	46.46	56.28	71.72
ENSG00000003989	SLC7A2	1795	1133	1752	219	297	402
ENSG00000004059	ARF5	2342.85	1999	2055.92	2302	2277.67	2829.7
ENSG00000004139	SARM1	107.84	127.51	96.5	352.98	306.99	282.28
ENSG00000004142	POLDIP2	2519.96	1946.69	2236.74	2789.68	2777.29	3190.74
ENSG00000004399	PLXND1	590	647	560	3634	4028	4178
ENSG00000004455	AK2	7280.99	7571.98	6106.68	6045.01	6048.61	6474.99
ENSG00000004468	CD38	2	1	5	54	73	111
ENSG00000004478	FKBP4	2872	2568.98	2468	2413	2283	2602
ENSG00000004487	KDM1A	2876	2467	2643	3229	3165	3730
ENSG00000004534	RBM6	4336.8	5600	4253	3481.41	3723.51	3594.39
ENSG00000004660	CAMKK1	753	667	743	147	157	154
ENSG00000004700	RECQL	4662.7	3719.78	4062.04	4261.16	4464.1	5460.39
ENSG00000004766	CCDC132	1001	885	811	970	977	1263
ENSG00000004776	HSPB6	3	1	0	0	3	3
ENSG00000004777	ARHGAP33	269	432	250	298	282	233
ENSG00000004779	NDUFAB1	1497	1157	1048	1232	934	1438
ENSG00000004799	PDK4	3	1	1	92	94	93
ENSG00000004809	SLC22A16	0	0	0	0	0	0
ENSG00000004838	ZMYND10	106	102	87	86	84	80
ENSG00000004846	ABCB5	5	1	3	0	1	0
ENSG00000004848	ARX	0	0	0	1	0	0
ENSG00000004864	SLC25A13	1122	989	1062	1733	1851	2242
ENSG00000004866	ST7	895.5	771.76	809.94	693.11	743.47	956.92
ENSG00000004897	CDC27	3574	2727	3128	4095	4246	5211.12
ENSG00000004939	SLC4A1	0	0	0	0	0	0
ENSG00000004948	CALCR	0	1	0	0	2	1
ENSG00000004961	HCCS	968	719	902	1157	1137	1307
ENSG00000004975	DVL2	2564	2481	1980	1678	1757	1908
ENSG00000005001	PRSS22	0	0	0	0	0	0
ENSG00000005007	UPF1	2374	2099	2107	2757	2922	3171
ENSG00000005020	SKAP2	6734	5732	6524	3230	3312	4036
ENSG00000005022	SLC25A5	7765.75	6042.62	7071.47	7951.75	7361.46	8849.45
ENSG00000005059	CCDC109B	679	561	609	813	809	1007
ENSG00000005073	HOXA11	45.35	43.94	65.56	189.05	168.61	214.93
ENSG00000005075	POLR2J	764.79	726.04	700.23	636.92	586.72	698.4
ENSG00000005100	DHX33	1156	981	1248	1260	1280	1447
ENSG00000005102	MEOX1	5	3	6	70	88	106
ENSG00000005108	THSD7A	72	73	89	121	143	261
ENSG00000005156	LIG3	421	390	450	419	481	503
ENSG00000005175	RPAP3	1492	1135	1248	1218	1226	1405
