 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
TSPAN6	TSPAN6	2285	1969	1762	1573	1594	1878
TNMD	TNMD	0	0	0	0	0	0
DPM1	DPM1	1386	1145	1211	1696	1665	2155
SCYL3	SCYL3	384.11	346.37	323.79	402.84	397.86	424.67
C1orf112	C1orf112	649.89	566.63	605.21	790.16	801.14	863.33
FGR	FGR	2	3	4	6	3	5
FUCA2	FUCA2	3005.83	2414.71	2735.28	3391.67	3297.54	3704.73
GCLC	GCLC	1355	1074	1259	1097	1122	1344
STPG1	C1orf201	268	245	267	288	293	342
NIPAL3	NIPAL3	1795	1666	1594	1540	1793	1896
LAS1L	LAS1L	1237	1203	1180	1341	1403	1477
ENPP4	ENPP4	1844	1473	1523	1818	2074	2489
SEMA3F	SEMA3F	793	686	729	1577	1584	1625
CFTR	CFTR	8	3	1	23	17	22
ANKIB1	ANKIB1	3398	2824	3250	3147	3445	4388
CYP51A1	CYP51A1	7569.99	5963.75	6908	6522.51	6893	8130
KRIT1	KRIT1	1247.37	1069.45	1029.99	1304	1389.59	1599.76
RAD52	RAD52	263.28	280	233	199	222.2	235
MYH16	MYH16	1	6	11	2	3	1
BAD	BAD	749.58	594.71	551.74	965.6	770.59	1035.5
LAP3	LAP3	1928	1593	1824	5055.89	5368	7485
CD99	CD99	4196	3845	3560	2935	2676	3291
HS3ST1	HS3ST1	0	0	0	30	49	52
AOC1	ABP1	0	1	1	1	1	0
WNT16	WNT16	14	22	13	2	0	1
HECW1	HECW1	7	5	2	3	0	1
MAD1L1	MAD1L1	578	476	638	743	669	913
LASP1	LASP1	7720	6749	6685	8650.12	9154	9708
SNX11	SNX11	823	741.93	785	792	912	946
TMEM176A	TMEM176A	0	0	1	0	0	0
M6PR	M6PR	4395.81	3965.11	3876.68	4279.64	4333.04	4848.53
KLHL13	KLHL13	572	385	444	2032	2177	2659
CYP26B1	CYP26B1	1	2	2	3	7	4
ICA1	ICA1	256	204	192	318	294	402
DBNDD1	DBNDD1	629	569	557	722	673	809
ALS2	ALS2	2559	2294	2392	2267	2492	2907
CASP10	CASP10	315	325	339	627	722	746
CFLAR	CFLAR	2941.53	2791.53	2890.94	3388.78	3751.98	4248.1
TFPI	TFPI	13958	11554	13150	14503	14773	18016
NDUFAF7	C2orf56	381.93	335.14	351.23	500.99	464.71	493.28
RBM5	RBM5	4550.74	5893.28	4352.49	3684.23	3998.65	3821.86
MTMR7	MTMR7	56	32	46	46.46	56.28	71.72
SLC7A2	SLC7A2	1795	1133	1752	219	297	402
ARF5	ARF5	2342.85	1999	2055.92	2302	2277.67	2829.7
SARM1	SARM1	107.84	127.51	96.5	352.98	306.99	282.28
POLDIP2	POLDIP2	2519.96	1946.69	2236.74	2789.68	2777.29	3190.74
PLXND1	PLXND1	590	647	560	3634	4028	4178
AK2	AK2	7280.99	7571.98	6106.68	6045.01	6048.61	6474.99
CD38	CD38	2	1	5	54	73	111
FKBP4	FKBP4	2872	2568.98	2468	2413	2283	2602
KDM1A	KDM1A	2876	2467	2643	3229	3165	3730
RBM6	RBM6	4336.8	5600	4253	3481.41	3723.51	3594.39
CAMKK1	CAMKK1	753	667	743	147	157	154
RECQL	RECQL	4662.7	3719.78	4062.04	4261.16	4464.1	5460.39
VPS50	CCDC132	1001	885	811	970	977	1263
HSPB6	HSPB6	3	1	0	0	3	3
ARHGAP33	ARHGAP33	269	432	250	298	282	233
NDUFAB1	NDUFAB1	1497	1157	1048	1232	934	1438
PDK4	PDK4	3	1	1	92	94	93
