Name	Description	Exp1A	Exp1B	Exp1C	Exp2A	Exp2B	Exp2C
ST3GAL2	ST3GAL2	1000	980	1000	530	500	530
ST6GALNAC2	ST6GALNAC2	530	510	530	1000	970	1000
ST3GAL1	ST3GAL1	990	970	990	540	510	540
ST6GALNAC4	ST6GALNAC4	540	520	540	990	960	990
B3GNT5	B3GNT5	530	530	550	980	950	980
 	MUC2	980	960	980	550	520	550
ST6GAL1	ST6GAL1	970	950	970	560	530	560
GALNT16	GALNT16	560	540	560	970	940	970
MUC4	MUC4	960	940	960	570	540	570
GALNTL6	GALNTL6	570	550	570	960	930	960
MUC1	MUC1	950	930	950	580	550	580
MUC5B	MUC5B	580	560	580	950	920	950
MUC6	MUC6	940	920	940	590	560	590
GALNT18	GALNT18	590	570	590	940	910	940
MUC13	MUC13	930	910	930	600	570	600
C1GALT1	C1GALT1	600	580	600	930	900	930
GALNT10	GALNT10	920	900	920	610	580	610
GCNT7	GCNT7	610	590	610	920	890	920
GALNT12	GALNT12	910	890	910	620	590	620
GALNT11	GALNT11	620	600	620	910	880	910
GALNT14	GALNT14	900	880	900	630	600	630
GALNT1	GALNT1	630	610	630	900	870	900
MUC21	MUC21	890	870	890	640	610	640
GALNT2	GALNT2	640	620	640	890	860	890
MUC3A	MUC3A	880	860	880	650	620	650
GALNT3	GALNT3	650	630	650	880	850	880
GCNT1	GCNT1	870	850	870	660	630	660
GCNT6	GCNT6	660	640	660	870	840	870
ST3GAL3	ST3GAL3	860	840	860	670	640	670
B3GNT9	B3GNT9	670	650	670	860	830	860
C1GALT1C1	C1GALT1C1	850	830	850	680	650	680
MUC12	MUC12	680	660	680	850	820	850
MUC15	MUC15	840	820	840	690	660	690
B3GNTL1	B3GNTL1	690	670	690	840	810	840
GALNT13	GALNT13	830	810	830	700	670	700
B4GALT6	B4GALT6	700	680	700	830	800	830
B3GNT6	B3GNT6	820	800	820	710	680	710
GALNT5	GALNT5	710	690	710	820	790	820
GALNT4	GALNT4	810	790	810	720	690	720
GALNTL5	GALNTL5	720	700	720	810	780	810
MUCL1	MUCL1	800	780	800	730	700	730
ST3GAL4	ST3GAL4	730	710	730	800	770	800
GALNT9	GALNT9	790	770	790	740	710	740
B3GNT8	B3GNT8	740	720	740	790	760	790
B4GALT5	B4GALT5	780	760	780	750	720	750
GCNT3	GCNT3	750	730	750	780	750	780
GALNT6	GALNT6	770	750	770	760	730	760
GCNT4	GCNT4	760	740	760	770	740	770
