NAME	Description	mir130_1	Control_1	mir130_2	Control_2	mir130_3	Control_3
DDX11L1	ENSG00000223972.4	0	9	3	3	4	2
WASH7P	ENSG00000227232.4	126	178	89	164	23	64
MIR1302-11	ENSG00000243485.2	0	1	0	0	1	0
RP11-34P13.7	ENSG00000238009.2	2	1	0	1	1	1
CICP27	ENSG00000233750.3	2	4	2	5	5	9
AL627309.1	ENSG00000237683.5	62	82	9	18	16	48
RP11-34P13.15	ENSG00000268903.1	1	0	0	1	0	1
RP11-34P13.14	ENSG00000239906.1	5	7	2	1	1	3
RP11-34P13.13	ENSG00000241860.2	19	24	8	10	4	4
RNU6-1100P	ENSG00000222623.1	0	0	0	1	0	0
RP11-34P13.9	ENSG00000241599.1	0	0	0	0	0	4
AP006222.2	ENSG00000228463.4	9	20	21	22	24	13
RP4-669L17.10	ENSG00000237094.7	2	2	0	1	1	1
RP4-669L17.8	ENSG00000250575.1	1	1	1	0	0	0
RP4-669L17.1	ENSG00000236679.2	0	0	0	0	0	2
RP5-857K21.1	ENSG00000231709.1	0	2	0	1	0	1
RP5-857K21.4	ENSG00000230021.3	1	0	3	0	3	1
MTND1P23	ENSG00000225972.1	76	72	408	594	77	60
MTND2P28	ENSG00000225630.1	63	72	101	179	69	65
hsa-mir-6723	ENSG00000237973.1	2932	4691	4873	7955	1602	2064
RP5-857K21.7	ENSG00000229344.1	475	819	1514	1044	1223	1059
MTATP8P1	ENSG00000240409.1	0	0	1	0	1	0
MTATP6P1	ENSG00000248527.1	305	490	726	716	454	423
RP5-857K21.11	ENSG00000198744.5	535	896	1908	1698	631	844
CICP3	ENSG00000229376.3	0	3	0	2	0	0
RP11-206L10.1	ENSG00000224956.5	6	25	13	29	7	14
RP11-206L10.3	ENSG00000235373.1	0	2	7	7	0	0
RNU6-1199P	ENSG00000223181.1	1	1	0	2	0	0
RP11-206L10.5	ENSG00000240618.1	1	1	1	3	0	2
RP11-206L10.4	ENSG00000229905.1	0	0	1	0	0	0
RP11-206L10.2	ENSG00000228327.2	25	39	55	52	10	29
RP11-206L10.9	ENSG00000237491.4	56	54	29	47	25	29
RP11-206L10.8	ENSG00000230092.3	16	9	10	8	19	13
FAM87B	ENSG00000177757.1	13	18	15	7	8	17
LINC00115	ENSG00000225880.4	59	77	31	69	32	53
RP11-206L10.11	ENSG00000228794.4	902	823	708	797	676	588
FAM41C	ENSG00000230368.2	3	1	1	0	1	5
RP11-54O7.16	ENSG00000272438.1	2	0	0	0	0	2
RP11-54O7.1	ENSG00000230699.2	2	12	3	6	0	1
RP11-54O7.3	ENSG00000223764.2	3	8	3	20	0	12
SAMD11	ENSG00000187634.6	1	3	2	2	0	3
AL645608.1	ENSG00000268179.1	0	0	0	0	0	1
NOC2L	ENSG00000188976.6	5691	6787	4865	6754	440	2233
KLHL17	ENSG00000187961.9	283	408	171	309	23	73
PLEKHN1	ENSG00000187583.6	0	4	2	5	0	2
C1orf170	ENSG00000187642.5	0	0	0	2	0	1
HES4	ENSG00000188290.6	28	16	3	6	6	18
RP11-54O7.10	ENSG00000231702.2	3	0	1	4	1	1
RP11-54O7.11	ENSG00000224969.1	0	0	1	0	4	1
ISG15	ENSG00000187608.5	1407	1708	1556	1329	3026	2098
AGRN	ENSG00000188157.9	67	109	28	57	28	15
RP11-465B22.3	ENSG00000217801.5	79	63	28	32	173	138
RP11-54O7.18	ENSG00000273443.1	1	0	0	1	0	0
C1orf159	ENSG00000131591.13	693	812	616	952	37	229
RP11-465B22.8	ENSG00000272141.1	0	1	0	0	0	0
TTLL10-AS1	ENSG00000205231.1	3	4	0	2	4	2
TTLL10	ENSG00000162571.9	57	120	84	85	49	87
TNFRSF18	ENSG00000186891.9	259	232	170	216	78	156
TNFRSF4	ENSG00000186827.6	502	497	286	309	105	228
SDF4	ENSG00000078808.12	2910	3274	2505	3170	408	1436
B3GALT6	ENSG00000176022.3	2014	2141	1893	2261	252	605
FAM132A	ENSG00000184163.3	5	14	1	9	9	11
RP5-902P8.12	ENSG00000260179.1	0	2	1	0	1	3
UBE2J2	ENSG00000160087.16	3085	3112	3218	2951	1687	2290
RP5-902P8.10	ENSG00000230415.1	5	4	0	1	0	2
SCNN1D	ENSG00000162572.15	46	72	41	71	13	34
ACAP3	ENSG00000131584.14	1026	1238	382	907	28	86
PUSL1	ENSG00000169972.7	630	537	542	526	109	217
CPSF3L	ENSG00000127054.14	1041	1367	1280	1719	320	1047
RP5-890O3.9	ENSG00000240731.1	7	10	4	3	4	1
GLTPD1	ENSG00000224051.2	684	772	191	530	18	53
TAS1R3	ENSG00000169962.4	2	8	0	8	1	1
DVL1	ENSG00000107404.13	508	674	153	465	89	104
MXRA8	ENSG00000162576.12	17	3	4	5	1	7
AURKAIP1	ENSG00000175756.9	3529	3519	3815	3198	1412	2628
